scene_id,task_type,task,filename,target_object_labels,target_object_ids,target_object_ids_short,affordance_labels,affordance_ids,affordance_actions,all_target_node_ids
0kitchen,implicit,I am hungry,0kitchen_i-am-hungry_139ec106_GT.json,kitchen cabinet,139ec106-b936-4d61-bb37-3c4194d00f6b,139ec106,knob,f9fe3c99-9aeb-43f0-b61c-50745b3d8105,knob: pull to open or close,139ec106-b936-4d61-bb37-3c4194d00f6b; f9fe3c99-9aeb-43f0-b61c-50745b3d8105
0kitchen,implicit,I am hungry,0kitchen_i-am-hungry_2_GT.json,oven; microwave oven,3b913a4b-4f6b-4d1c-827c-423fa2de9efc; d92a7d97-1eb6-4340-bcb3-93a43e1235fb,3b913a4b; d92a7d97,handle; handle; knob; knob,51a22b55-9a95-4d7d-a04a-a2566ce01605; 44baaedb-72de-4653-aaf9-7f17959c98ec; 200216d8-7731-4642-b5a9-ed10fccbb417; 840b0e7a-144e-4aef-aae0-41b1d097d74a,"handle: pull to open or close; handle: pull to open or close; knob: rotate to open or close, adjust the setting; knob: rotate to open or close, adjust the setting",3b913a4b-4f6b-4d1c-827c-423fa2de9efc; d92a7d97-1eb6-4340-bcb3-93a43e1235fb; 51a22b55-9a95-4d7d-a04a-a2566ce01605; 44baaedb-72de-4653-aaf9-7f17959c98ec; 200216d8-7731-4642-b5a9-ed10fccbb417; 840b0e7a-144e-4aef-aae0-41b1d097d74a
0kitchen,implicit,I am hungry,0kitchen_i-am-hungry_3312a095_GT.json,kitchen cabinet,3312a095-0d16-410b-aac2-4b0c41101a99,3312a095,knob; knob; knob; knob,6e00881c-a983-4cd5-9bf9-ad4ace3d0319; 8883dc69-12a0-45eb-ad61-1f1a9674c9e0; acf92087-2ff9-4fe8-9064-9b1d4725674a; 1f8267da-e2af-4ad5-b523-1f4d12edbd02,knob: pull to open or close; knob: pull to open or close; knob: pull to open or close; knob: pull to open or close,3312a095-0d16-410b-aac2-4b0c41101a99; 6e00881c-a983-4cd5-9bf9-ad4ace3d0319; 8883dc69-12a0-45eb-ad61-1f1a9674c9e0; acf92087-2ff9-4fe8-9064-9b1d4725674a; 1f8267da-e2af-4ad5-b523-1f4d12edbd02
0kitchen,implicit,I am hungry,0kitchen_i-am-hungry_3_GT.json,oven; microwave oven,3b913a4b-4f6b-4d1c-827c-423fa2de9efc; d92a7d97-1eb6-4340-bcb3-93a43e1235fb,3b913a4b; d92a7d97,handle; handle; knob; knob,51a22b55-9a95-4d7d-a04a-a2566ce01605; 44baaedb-72de-4653-aaf9-7f17959c98ec; 200216d8-7731-4642-b5a9-ed10fccbb417; 840b0e7a-144e-4aef-aae0-41b1d097d74a,"handle: pull to open or close; handle: pull to open or close; knob: rotate to open or close, adjust the setting; knob: rotate to open or close, adjust the setting",3b913a4b-4f6b-4d1c-827c-423fa2de9efc; d92a7d97-1eb6-4340-bcb3-93a43e1235fb; 51a22b55-9a95-4d7d-a04a-a2566ce01605; 44baaedb-72de-4653-aaf9-7f17959c98ec; 200216d8-7731-4642-b5a9-ed10fccbb417; 840b0e7a-144e-4aef-aae0-41b1d097d74a
0kitchen,implicit,I am hungry,0kitchen_i-am-hungry_497e0d19_GT.json,kitchen cabinet,497e0d19-d67a-4da0-a507-bbe96e9329d6,497e0d19,knob; knob; knob,0aa2c320-71f1-4977-8f0d-5acd609e4743; 626f6834-3490-4d7d-8c01-7c1808f75a58; 968148bd-a8ce-4f77-88af-915d1a3cfadf,knob: pull to open or close; knob: pull to open or close; knob: pull to open or close,497e0d19-d67a-4da0-a507-bbe96e9329d6; 0aa2c320-71f1-4977-8f0d-5acd609e4743; 626f6834-3490-4d7d-8c01-7c1808f75a58; 968148bd-a8ce-4f77-88af-915d1a3cfadf
0kitchen,implicit,I am hungry,0kitchen_i-am-hungry_GT.json,fridge,ca2b0708-a2b8-4f41-af84-2bf82994b95d,ca2b0708,handle,e5379d07-9084-445f-8b2d-38f3ae136b02,handle: pull to open or close,ca2b0708-a2b8-4f41-af84-2bf82994b95d; e5379d07-9084-445f-8b2d-38f3ae136b02
0kitchen,implicit,I am hungry,0kitchen_i-am-hungry_fcd973a3_GT.json,kitchen cabinet,fcd973a3-39c9-4e84-a75f-abc957c42981,fcd973a3,knob; knob; knob; knob,10c8368a-7442-4ce9-a548-960b8bbacf26; 21bde071-9155-4ced-9f0e-4d3ab4066b76; df12f156-a009-44d6-9020-0839e1e20066; a41f1593-b8ee-466e-a830-22231b56001e,knob: pull to open or close; knob: pull to open or close; knob: pull to open or close; knob: pull to open or close,fcd973a3-39c9-4e84-a75f-abc957c42981; 10c8368a-7442-4ce9-a548-960b8bbacf26; 21bde071-9155-4ced-9f0e-4d3ab4066b76; df12f156-a009-44d6-9020-0839e1e20066; a41f1593-b8ee-466e-a830-22231b56001e
0kitchen,implicit,I am looking for storage items,0kitchen_i-am-looking-for-storage-items_GT.json,cabinet,df66abca-4f71-4cad-a55f-a68ab5f77404,df66abca,knob,f05bcfeb-2db5-4847-af36-e9b9347adb53,knob: pull to open or close,df66abca-4f71-4cad-a55f-a68ab5f77404; f05bcfeb-2db5-4847-af36-e9b9347adb53
0kitchen,implicit,I need to clean the dirty dishes,0kitchen_i-need-to-clean-the-dirty-dishes_GT.json,dishwasher,620851fe-b35f-4de6-912e-2ad779c993a9,620851fe,,,,620851fe-b35f-4de6-912e-2ad779c993a9
0kitchen,implicit,I want a hot cup of tea,0kitchen_i-want-a-hot-cup-of-tea_GT.json,kettle,87771722-9826-4f4a-838d-062a6e30c79e,87771722,,,,87771722-9826-4f4a-838d-062a6e30c79e
